filepath,filename,category,text_length,total_skills,skills_found,skills_frequency,top_skills,education_info,cgpa,percentage,num_education,has_education,has_marks
../DATA/data/ACCOUNTANT/13072019.pdf,13072019.pdf,Accountant,6155,2,"project management, excel","{""project management"": 2, ""excel"": 1}","project management, excel",E | d | u | c | a | t | i | o | n,,,9,1,0
../DATA/data/ACCOUNTANT/13130984.pdf,13130984.pdf,Accountant,4104,1,excel,"{""excel"": 3}",excel,E | d | u | c | a | t | i | o | n |   | a | n | d |   | T | r | a | i | n | i | n | g |   | | |   | M | a | s | t | e | r | ' | s |   | | |   | T | r | o | y |   | U | n | i | v | e | r | s | i | t | y |   | | |   | C | o | l | u | m | b | u | s |   | S | t | a | t | e |   | U | n | i | v | e | r | s | i | t | y,,,79,1,0
../DATA/data/ACCOUNTANT/13294301.pdf,13294301.pdf,Accountant,4859,1,excel,"{""excel"": 2}",excel,E | d | u | c | a | t | i | o | n |   | | |   | B | a | c | h | e | l | o | r |   | o | f |   | S | c | i | e | n | c | e |   | | |   | O | a | k | l | a | n | d |   | U | n | i | v | e | r | s | i | t | y |   | | |   | M | a | c | o | m | b |   | C | o | m | m | u | n | i | t | y |   | C | o | l | l | e | g | e,,,79,1,0
../DATA/data/ACCOUNTANT/13491889.pdf,13491889.pdf,Accountant,5146,3,"communication, aws, excel","{""communication"": 1, ""aws"": 1, ""excel"": 1}","communication, aws, excel",E | d | u | c | a | t | i | o | n |   | a | n | d |   | T | r | a | i | n | i | n | g |   | | |   | M | B | A |   | | |   | U | n | i | v | e | r | s | i | t | y |   | o | f |   | P | h | o | e | n | i | x |   | | |   | C | o | n | t | i | n | u | i | n | g |   | e | d | u | c | a | t | i | o | n |   | c | o | u | r | s | e | s |   | f | o | c | u | s | i | n | g |   | o | n |   | t | h | e |   | M | a | j | o | r |   | | |   | U | n | i | v | e | r | s | i | t | y,,,118,1,0
../DATA/data/ACCOUNTANT/13701259.pdf,13701259.pdf,Accountant,6697,2,"excel, aws","{""excel"": 2, ""aws"": 1}","excel, aws",E | d | u | c | a | t | i | o | n |   | | |   | M | E | R | C | Y |   | C | O | L | L | E | G | E |   | | |   | B | a | c | h | e | l | o | r |   | o | f |   | S | c | i | e | n | c | e,,,47,1,0
../DATA/data/ACCOUNTANT/14055988.pdf,14055988.pdf,Accountant,4793,1,communication,"{""communication"": 2}",communication,C | o | r | r | e | s | p | o | n | d |   | w | i | t | h |   | o | u | t | s | i | d | e |   | g | r | a | n | t | i | n | g |   | a | g | e | n | c | i | e | s |   | a | n | d |   | U | n | i | v | e | r | s | i | t | y |   | G | r | a | n | t | s |   | a | n | d |   | C | o | n | t | r | a | c | t | s |   | d | e | p | a | r | t | m | e | n | t |   | t | o |   | v | e | r | i | f | y |   | b | i | l | l | i | n | g |   | d | e | t | a | i | l | s | . |   | | |   | E | d | u | c | a | t | i | o | n |   | | |   | P | r | a | i | r | i | e |   | V | i | e | w |   | A |   | & |   | M |   | U | n | i | v | e | r | s | i | t | y |   | | |   | U | n | i | v | e | r | s | i | t | y |   | o | f |   | N | o | r | t | h |   | T | e | x | a | s |   | | |   | U | n | i | v | e | r | s | i | t | y |   | o | f |   | N | o | r | t | h |   | T | e | x | a | s |   | | |   | M | B | A,,,221,1,0
../DATA/data/ACCOUNTANT/14126433.pdf,14126433.pdf,Accountant,6385,2,"excel, communication","{""excel"": 5, ""communication"": 1}","excel, communication","E | d | u | c | a | t | i | o | n |   | | |   | M | a | s | t | e | r |   | o | f |   | B | u | s | i | n | e | s | s |   | A | d | m | i | n | i | s | t | r | a | t | i | o | n |   | | |   | P | e | p | p | e | r | d | i | n | e |   | U | n | i | v | e | r | s | i | t | y | , |   | G | r | a | z | i | a | d | i | o |   | S | c | h | o | o | l |   | o | f |   | | |   | B | a | c | h | e | l | o | r |   | o | f |   | S | c | i | e | n | c | e |   | | |   | U | n | i | v | e | r | s | i | t | y |   | o | f |   | N | e | w |   | O | r | l | e | a | n | s",,,140,1,0
../DATA/data/ACCOUNTANT/14224370.pdf,14224370.pdf,Accountant,3174,2,"excel, communication","{""excel"": 4, ""communication"": 2}","excel, communication",D | e | g | r | e | e | d |   | a | c | c | o | u | n | t | a | n | t |   | w | i | t | h |   | m | o | r | e |   | t | h | a | n |   | 1 | 0 |   | y | e | a | r | s |   | o | f |   | d | i | v | e | r | s | i | f | i | e | d |   | a | c | c | o | u | n | t | i | n | g |   | e | x | p | e | r | i | e | n | c | e |   | s | e | e | k | i | n | g |   | a | c | c | o | u | n | t | i | n | g |   | p | o | s | i | t | i | o | n |   | a | t |   | a |   | w | e | l | l | - | e | s | t | a | b | l | i | s | h | e | d |   | c | o | m | p | a | n | y |   | i | n |   | | |   | E | d | u | c | a | t | i | o | n |   | | |   | B | a | c | h | e | l | o | r | ' | s |   | d | e | g | r | e | e |   | | |   | U | n | i | v | e | r | s | i | t | y |   | o | f |   | H | o | u | s | t | o | n,,,196,1,0
../DATA/data/ACCOUNTANT/14449423.pdf,14449423.pdf,Accountant,7581,3,"communication, excel, sql","{""communication"": 4, ""excel"": 3, ""sql"": 2}","communication, excel, sql",E | d | u | c | a | t | i | o | n |   | | |   | D | i | p | l | o | m | a |   | | |   | K | i | n | g | s |   | C | o | l | l | e | g | e |   | | |   | B | a | c | h | e | l | o | r |   | o | f |   | S | c | i | e | n | c | e |   | | |   | S | o | u | t | h |   | C | a | r | o | l | i | n | a |   | S | t | a | t | e |   | U | n | i | v | e | r | s | i | t | y,,,91,1,0
../DATA/data/ACCOUNTANT/14470533.pdf,14470533.pdf,Accountant,6416,2,"aws, excel","{""aws"": 2, ""excel"": 2}","aws, excel","E | d | u | c | a | t | i | o | n |   | | |   | T | r | e | a | s | u | r | e |   | V | a | l | l | e | y |   | C | o | m | m | u | n | i | t | y |   | C | o | l | l | e | g | e |   | | |   | T | r | e | a | s | u | r | e |   | V | a | l | l | e | y |   | C | o | m | m | u | n | i | t | y |   | C | o | l | l | e | g | e | , |   | | |   | C | a | l | d | w | e | l | l | , |   | I | D |   | C | u | r | r | e | n | t |   | G | P | A |   | 3 | . | 8 | 5 |   | C | u | r | r | e | n | t | l | y |   | A | t | t | e | n | d | i | n | g | - | - | G | r | a | d | u | a | t | i | o | n |   | e | x | p | e | c | t | e | d |   | i | n |   | 2 | 0 | 1 | 6 |   | - |   | A | . | A | . |   | i | n |   | B | u | s | i | n | e | s | s |   | M | a | n | a | g | e | m | e | n | t | - | A | c | c | o | u | n | t | i | n | g |   | C | l | e | r | i | c | a | l |   | S | k | i | l | l | s |   | | |   | D | i | p | l | o | m | a |   | | |   | O | f | f | i | c | e |   | S | p | e | c | i | a | l | i | s | t |   | D | i | p | l | o | m | a | - | - | E | m | p | h | a | s | i | s |   | i | n |   | | |   | B | o | o | k | k | e | e | p | i | n | g |   | a | n | d |   | O | f | f | i | c | e |   | A | d | m | i | n | i | s | t | r | a | t | i | o | n |   | W | o | r | l | a | n | d |   | H | i | g | h |   | S | c | h | o | o | l | , |   | W | o | r | l | a | n | d | , |   | W | Y |   | H | i | g | h |   | S | c | h | o | o | l |   | D | i | p | l | o | m | a",,,364,1,0
../DATA/data/ACCOUNTANT/14491649.pdf,14491649.pdf,Accountant,5638,2,"excel, communication","{""excel"": 4, ""communication"": 1}","excel, communication","M | a | n | a | g | e |   | m | a | s | t | e | r |   | d | a | t | a |   | i | n |   | E | R | P |   | s | y | s | t | e | m |   | f | o | r |   | a | l | l |   | n | e | w |   | i | n | v | e | n | t | o | r | y |   | i | t | e | m | s | . |   | | |   | E | d | u | c | a | t | i | o | n |   | | |   | K | e | l | l | e | r |   | G | r | a | d | u | a | t | e |   | S | c | h | o | o | l |   | o | f |   | M | a | n | a | g | e | m | e | n | t |   | | |   | M | a | s | t | e | r |   | o | f |   | B | u | s | i | n | e | s | s |   | A | d | m | i | n | i | s | t | r | a | t | i | o | n |   | | |   | G | P | A | : |   | | |   | G | P | A | : |   | 3 | . | 6 | 7 |   | | |   | A | c | c | o | u | n | t | i | n | g |   | G | P | A | : |   | | |   | D | e | V | r | y |   | U | n | i | v | e | r | s | i | t | y |   | | |   | B | a | c | h | e | l | o | r |   | o | f |   | S | c | i | e | n | c | e |   | | |   | G | P | A | : |   | | |   | G | P | A | : |   | 3 | . | 6 | 6 |   | C | u | m |   | L | a | u | d | e | , |   | a | n | d |   | D | e | a | n | ' | s |   | L | i | s | t |   | | |   | T | e | c | h | n | i | c | a | l |   | M | a | n | a | g | e | m | e | n | t |   | A | c | c | o | u | n | t | i | n | g |   | G | P | A | : |   | 3 | . | 6 | 6 |   | C | u | m |   | L | a | u | d | e | , |   | a | n | d |   | D | e | a | n | ' | s |   | L | i | s | t",,,343,1,0
../DATA/data/ACCOUNTANT/14496667.pdf,14496667.pdf,Accountant,5098,1,excel,"{""excel"": 4}",excel,"A |   | b | u | s | i | n | e | s | s |   | m | a | n | a | g | e | m | e | n | t |   | g | r | a | d | u | a | t | e |   | w | i | t | h |   | s | i | g | n | i | f | i | c | a | n | t |   | e | x | p | e | r | i | e | n | c | e |   | i | n |   | d | i | s | a | b | i | l | i | t | y |   | s | e | r | v | i | c | e | s | , |   | h | u | m | a | n |   | r | e | s | o | u | r | c | e | s |   | a | n | d |   | f | i | n | a | n | c | e |   | d | e | p | a | r | t | m | e | n | t | ; |   | s | e | e | k | i | n | g |   | t | o |   | a | p | p | l | y |   | m | y |   | | |   | E | d | u | c | a | t | i | o | n |   | | |   | B | a | c | h | e | l | o | r |   | o | f |   | S | c | i | e | n | c | e |   | | |   | B | r | i | d | g | e | w | a | t | e | r |   | S | t | a | t | e |   | U | n | i | v | e | r | s | i | t | y |   | | |   | A | c | t | i | v | i | t | i | e | s | : |   | U | n | d | e | r | g | r | a | d | u | a | t | e |   | R | e | s | e | a | r | c | h |   | S | y | m | p | o | s | i | u | m |   | P | a | n | e | l",,,260,1,0
../DATA/data/ACCOUNTANT/15289348.pdf,15289348.pdf,Accountant,8631,2,"excel, problem solving","{""excel"": 5, ""problem solving"": 1}","excel, problem solving","E | d | u | c | a | t | i | o | n |   | | |   | M | B | A |   | | |   | U | n | i | v | e | r | s | i | t | y |   | o | f |   | N | o | r | t | h |   | F | l | o | r | i | d | a |   | | |   | M | B | A | , |   | C | R | P | C | , |   | C | F | P |   | c | a | n | d | i | d | a | t | e | , |   | C | P | A |   | c | a | n | d | i | d | a | t | e |   | | |   | i | n | s | u | r | a | n | c | e | , |   | h | e | a | l | t | h |   | a | n | d |   | H | S | A |   | i | n | s | u | r | a | n | c | e | ; |   | e | d | u | c | a | t | i | o | n |   | p | l | a | n | n | i | n | g | ; |   | s | m | a | l | l |   | b | u | s | i | n | e | s | s |   | f | i | n | a | n | c | i | a | l |   | a | n | d |   | r | e | t | i | r | e | m | e | n | t |   | p | l | a | n | n | i | n | g | ; |   | e | s | t | a | t | e |   | p | l | a | n | n | i | n | g |   | i | s | s | u | e | s | ;",,,220,1,0
../DATA/data/ACCOUNTANT/15363277.pdf,15363277.pdf,Accountant,6744,2,"excel, communication","{""excel"": 3, ""communication"": 2}","excel, communication",A | s | s | o | c | i | a | t | e |   | A | m | b | a | s | s | a | d | o | r |   | w | i | t | h | i | n |   | t | h | e |   | t | r | a | n | s | i | t | i | o | n |   | i | n |   | N | e | w |   | S | A | P |   | f | i | n | a | n | c | i | a | l |   | s | y | s | t | e | m |   | f | r | o | m |   | O | r | a | c | l | e |   | F | i | n | a | n | c | i | a | l | s |   | w | a | s |   | d | o | n | e |   | i | n | - | h | o | u | s | e |   | s | a | v | e | d |   | o | v | e | r |   | $ | 2 | M |   | b | y |   | | |   | t | o | t | a | l |   | c | o | m | m | i | s | s | i | o | n | s |   | e | a | r | n | e | d |   | a | n | d |   | r | e | a | l |   | e | s | t | a | t | e |   | t | r | a | n | s | a | c | t | i | o | n | s | . |   | R | e | c | e | i | v | e | d |   | t | h | e |   | B | r | a | n | d |   | A | m | b | a | s | s | a | d | o | r |   | A | w | a | r | d |   | i | n |   | t | w | o |   | c | o | n | s | e | c | u | t | i | v | e |   | y | e | a | r | s |   | f | o | r |   | o | u | t | s | t | a | n | d | i | n | g |   | | |   | E | d | u | c | a | t | i | o | n |   | | |   | U | n | i | v | e | r | s | i | t | y |   | o | f |   | P | h | o | e | n | i | x |   | | |   | M | a | s | t | e | r | s |   | o | f |   | B | u | s | i | n | e | s | s |   | A | d | m | i | n | i | s | t | r | a | t | i | o | n |   | | |   | H | a | m | p | t | o | n |   | U | n | i | v | e | r | s | i | t | y |   | | |   | B | a | c | h | e | l | o | r |   | o | f |   | S | c | i | e | n | c | e |   | D | e | g | r | e | e,,,386,1,0
../DATA/data/ACCOUNTANT/15592167.pdf,15592167.pdf,Accountant,5104,2,"excel, communication","{""excel"": 3, ""communication"": 2}","excel, communication","w | i | t | h |   | M | a | s | t | e | r |   | D | e | g | r | e | e |   | i | n |   | A | c | c | o | u | n | t | i | n | g | , |   | C | P | A |   | L | i | c | e | n | s | e | d |   | w | i | t | h |   | 5 | + |   | y | e | a | r | s | ' |   | e | x | p | e | r | i | e | n | c | e |   | i | n |   | f | i | n | a | n | c | i | a | l |   | r | e | p | o | r | t | i | n | g | , |   | a | n | d |   | m | a | n | a | g | e | m | e | n | t |   | | |   | E | d | u | c | a | t | i | o | n |   | | |   | M | a | s | t | e | r |   | o | f |   | B | u | s | i | n | e | s | s |   | | |   | M | o | n | a | s | h |   | U | n | i | v | e | r | s | i | t | y |   | | |   | C | o | n | t | i | n | u | i | n | g |   | e | d | u | c | a | t | i | o | n |   | c | o | u | r | s | e | s |   | f | o | c | u | s | i | n | g |   | o | n |   | t | h | e |   | M | a | j | o | r |   | C | h | a | n | g | e | s |   | i | n |   | | |   | B | a | c | h | e | l | o | r |   | o | f |   | C | o | m | m | e | r | c | e |   | | |   | V | i | c | t | o | r | i | a |   | U | n | i | v | e | r | s | i | t | y |   | | |   | C | o | u | r | s | e | w | o | r | k |   | m | a | i | n | l | y |   | c | o | v | e | r | e | d |   | M | a | n | a | g | e | m | e | n | t",,,312,1,0
../DATA/data/ACCOUNTANT/15821633.pdf,15821633.pdf,Accountant,6475,3,"aws, data analysis, excel","{""aws"": 3, ""data analysis"": 2, ""excel"": 2}","aws, data analysis, excel","S | e | a | r | c | h | e | d |   | a | c | c | o | u | n | t |   | h | i | s | t | o | r | i | e | s |   | t | o |   | l | o | c | a | t | e |   | i | m | b | a | l | a | n | c | e | s |   | a | n | d |   | i | n | c | o | r | r | e | c | t |   | e | n | t | r | i | e | s | . |   | | |   | E | d | u | c | a | t | i | o | n |   | | |   | B | a | c | h | e | l | o | r |   | B | u | s | i | n | e | s | s |   | A | d | m | i | n | i | s | t | r | a | t | i | o | n |   | | |   | F | o | x |   | S | c | h | o | o | l |   | o | f |   | B | u | s | i | n | e | s | s | , |   | T | e | m | p | l | e |   | U | n | i | v | e | r | s | i | t | y",,,161,1,0
../DATA/data/ACCOUNTANT/15906625.pdf,15906625.pdf,Accountant,5788,1,excel,"{""excel"": 3}",excel,E | d | u | c | a | t | i | o | n |   | | |   | B | a | c | h | e | l | o | r |   | | |   | N | o | r | t | h | w | e | s | t | e | r | n |   | S | t | a | t | e |   | U | n | i | v | e | r | s | i | t | y |   | o | f |   | L | o | u | i | s | i | a | n | a |   | | |   | G | r | a | d | u | a | t | e | d |   | M | a | g | n | a |   | C | u | m |   | L | a | u | d | e |   | | |   | D | e | a | n | ' | s |   | L | i | s | t |   | f | o | r |   | t | h | e |   | e | n | t | i | r | e | t | y |   | o | f |   | C | o | l | l | e | g | e | .,,,136,1,0
../DATA/data/ACCOUNTANT/16237710.pdf,16237710.pdf,Accountant,5893,3,"communication, excel, problem solving","{""communication"": 4, ""excel"": 1, ""problem solving"": 1}","communication, excel, problem solving",E | d | u | c | a | t | i | o | n |   | | |   | B | a | c | h | e | l | o | r |   | o | f |   | A | r | t | s |   | | |   | U | n | i | v | e | r | s | i | t | y |   | o | f |   | G | r | e | e | n | w | i | c | h |   | | |   | C | o | m | p | l | e | t | e | d |   | t | h | e |   | B | a | c | h | e | l | o | r | ' | s |   | d | e | g | r | e | e |   | i | n |   | B | u | s | i | n | e | s | s |   | o | f |   | A | r | t | s |   | - |   | B | A |   | H | o | n | o | r | s |   | B | u | s | i | n | e | s | s |   | S | t | u | d | i | e | s |   | a | c | h | i | e | v | i | n | g |   | a |   | S | e | c | o | n | d |   | U | p | p | e | r |   | C | l | a | s | s |   | H | o | n | o | r | s | . |   | | |   | O | s | h | w | a | l |   | C | o | l | l | e | g | e |   | | |   | D | i | p | l | o | m | a |   | i | n |   | B | u | s | i | n | e | s | s |   | M | a | n | a | g | e | m | e | n | t |   | ( | H | i | g | h | e | r | ) |   | - |   | L | e | v | e | l |   | 5 |   | i | n | c | l | u | d | e | s |   | t | h | e |   | f | o | l | l | o | w | i | n | g |   | u | n | i | t | s | : |   | | |   | D | i | p | l | o | m | a |   | i | n |   | B | u | s | i | n | e | s | s |   | M | a | n | a | g | e | m | e | n | t |   | ( | G | r | a | d | u | a | t | e | ) |   | - |   | L | e | v | e | l |   | 6 |   | i | n | c | l | u | d | e | s |   | t | h | e |   | f | o | l | l | o | w | i | n | g |   | u | n | i | t | s | :,,,359,1,0
../DATA/data/ACCOUNTANT/17306905.pdf,17306905.pdf,Accountant,13290,1,excel,"{""excel"": 8}",excel,E | d | u | c | a | t | i | o | n |   | | |   | B | a | c | h | e | l | o | r |   | o | f |   | B | u | s | i | n | e | s | s |   | A | d | m | i | n | i | s | t | r | a | t | i | o | n |   | | |   | V | a | l | d | o | s | t | a |   | S | t | a | t | e |   | U | n | i | v | e | r | s | i | t | y |   | | |   | G | P | A | : |   | 3 | . | 7,,,86,1,0
../DATA/data/ACCOUNTANT/17407184.pdf,17407184.pdf,Accountant,5286,2,"project management, excel","{""project management"": 4, ""excel"": 1}","project management, excel","E | d | u | c | a | t | i | o | n |   | a | n | d |   | T | r | a | i | n | i | n | g |   | | |   | M | a | s | t | e | r |   | o | f |   | S | c | i | e | n | c | e |   | | |   | E | d | u | c | a | t | i | o | n |   | | |   | G | P | A | : |   | | |   | G | P | A | : |   | 4 | . | 0 |   | | |   | E | d | u | c | a | t | i | o | n |   | w | i | t | h | , |   | a | n | d |   | | |   | o | p | t | i | o | n |   | i | n |   | O | n | l | i | n | e |   | T | e | a | c | h | i | n | g |   | a | n | d |   | L | e | a | r | n | i | n | g |   | C | r | e | a | t | i | n | g |   | E | f | f | e | c | t | i | v | e |   | C | o | l | l | a | b | o | r | a | t | i | v | e |   | L | e | a | r | n | i | n | g |   | E | x | p | e | r | i | e | n | c | e | s |   | G | P | A | : |   | 4 | . | 0 |   | | |   | B | a | c | h | e | l | o | r |   | o | f |   | S | c | i | e | n | c | e |   | | |   | U | N | I | V | E | R | S | I | T | Y |   | O | F |   | M | A | R | Y | L | A | N | D | , |   | C | O | L | L | E | G | E |   | P | A | R | K |   | | |   | B | a | c | h | e | l | o | r |   | o | f |   | S | c | i | e | n | c | e |   | | |   | C | O | L | L | E | G | E |   | O | F |   | A | R | T | S | , |   | S | C | I | E | N | C | E | , |   | A | N | D |   | T | E | C | H | N | O | L | O | G | Y",,,324,1,0
