Filename,Skills,Skills_Count,Education,Marks
26801767.pdf,"c, communication, data analysis, excel",4,"Wireless Backbone Infrastructure Portwide, MSCO provisioning, Mobile Command Center Repair and Upgrade, Underwater inspection | Awarded and directed $1.2 million grant to install the telecommunications fiber optic infrastructure for university. | Provided data and communication services to entire university community; implemented university-wide operation of telephone, PBX, voice | Implemented comprehensive university system, increasing the number of telecommunication units from 324 to more than 2,000. | State University of New York | University of Evansville | Xavier University | *Represented the University President at Southern Educational Foundation | HONORS/AWARDS/CERTIFICATIONS Certified Port Executive Turner Fellowship, State University of New York at Stony Brook | United Negro College Fund Fellowship National Consortium of Educational Access Fellowship William and Mary Simon Fellowship",
27058381.pdf,"c, communication, excel, project management",4,Weber State University,
27295996.pdf,"azure, communication, data analysis, project management, sql",5,Hennepin Technical College | IT Security Essentials - CertificateBuchach University of Business and Management | Bachelor of Science | Zaporizhzhya Pedagogical College,"4.0
 
GPA | GPA: 3.71"
27372171.pdf,"communication, excel, node",3,"advancement, while implementing a high degree of professionalism, enthusiasm, initiative on a daily basis. | GRANTHAM UNIVERSITY | Master of Science | SAINT LEO UNIVERSITY | Bachelor of Business Administration | SAINT LEO UNIVERSITY",
27485716.pdf,project management,1,Bachelor of Science | UNIVERSITY OF PHOENIX | LAKE SUMTER COMMUNITY COLLEGE,20%
27536013.pdf,"data analysis, project management, sql",3,"Western Governor's University | University of Phoenix | Diploma | Girl Scouts of America - Troop Leader/Volunteer (2011 - Present) *Women in Technology Wisconsin, Inc. - Brand Ambassador (May 2015 -",
27770859.pdf,"c, communication, html, project management",4,"I work closely with the Durham campus, all IT vendors, and our BSC office to develop and manage the IT budget, including all IT-related | Bachelor of Science | Colby-Sawyer College | Movable Type, WordPress, MediaWiki, Gallery2, Gallery3, SIMPLE, Joomla, Moodle, Mailman, EMS Campus, EMS Master Calendar, Virtual | University of New Hampshire School of Law, formerly Franklin Pierce Law Center | University of New Hampshire School of Law, formerly Franklin Pierce Law Center",
28035460.pdf,"communication, data analysis",2,"Master of Science | University of Lagos | Master of Science Degree | University of the District of Columbia | Bachelor of Engineering | Federal University of Technology | University of the District of Columbia | University of the District of Columbia | Information Technology Specialist University of the District of Columbia, Workforce development 2018",40% | 50%
28126340.pdf,"css, html, javascript, project management, sql",5,"As webmaster I was responsible for the wing-to-wing implementation of online solutions for small businesses using the full System | Bachelor's | DeVry University | 9/2000 - 6/2004 DeVry University, Alpharetta, Georgia | Bachelor's Degree, Computer Information Systems Academic Honors: Dean's List, Hope Scholarship GPA 3.46 while working and attending",100% | 50% | 99% | GPA 3.46
28672970.pdf,"communication, project management",2,Bachelor of Science | University of Santo Tomas - Manila Philippines | Associates Degree | Baruch College | Dersyha University,30%
28697203.pdf,"communication, project management",2,Scrum / Kanban / Scrumban | Scrum master / Business analyst | Served as the primary point of contact with IT partners in deployment planning activities using a Scrumban (Agile and Kanban) approach. | BUSINESS ANALYST / SCRUM MASTER | American University | Master of Arts | American University | Master of Arts | Clemson University | Bachelor of Arts,
28897981.pdf,"communication, css, html",3,Master of Science | Warner Pacific University | Bachelor of Science | Eastern Washington University,
29051656.pdf,"aws, c, communication, sql",4,Bachelor of Science | University Of Buea,100%
29075857.pdf,"communication, data analysis, excel, project management, sql",5,"(Financial SAAS application) by developing and implementing Request for Proposals (RFPs), Master Service Agreements (MSA) and | University of New Haven | MS in Computer Science University of New Haven - New Haven, | Fairleigh Dickinson University | BS in Computer Science Fairleigh Dickinson University -",50% | 75%
29975124.pdf,"c, communication, html, project management, sql",5,Bachelor of Science,
30223363.pdf,"c, communication, data analysis, html, java, project management, sql",7,"Organized workshops for SQL Server 2005 during the technical fest at Mumbai University Active member of Student Council of Asian | Students at University of Maryland. Interface with the client and multi-disciplinary teams within Merkle (Business Intelligence, Information | University of Maryland | MS in Information Management (Dec 2011) University of Maryland GPA 3.67 /4.0 | B.E | Mumbai University | B.E in Computer Engineering (May 2009) Mumbai University First Division Specialties: | Active member of Student Council of Asian Students at University of Maryland",GPA 3.67
31111279.pdf,"c, communication, project management, sql",4,Foreign Languages and Literatures Degree in Spanish | Guilford Technical Comm College,
31243710.pdf,"c, excel, project management, sql",4,"systems administrator. The majority of my experience has been working with Microsoft, Dell, HP, IBM, Symantec, McAfee, Trend Micro and | Software Symantec Backup Exec, System Recovery, Endpoint Protection, Trend Micro, McAfee, | SolidWorks, QuickBooks Enterprise, McAfee SaaS, network security, disaster recovery, infrastructure design and support, network | Davenport University | Western Michigan University | Indiana University | Ivy Tech Community College | Intel, IP, IT project management, laptops, Linux, Mac OS, Macola, MAS 90, McAfee, Medical Manager, Access, MCP, Microsoft Dynamics,",
32959732.pdf,"azure, communication, project management, sql, tableau",5,"DirectedÂ the implementationÂ of a newÂ Student Information System and Customer Relations Management system for 2 colleges. Both projects | Led a successful implementation and integration of an acquired college into theÂ Weston Educational Group.Â Project was completed a month | At American Career College and West Coast University,Â I mentored and coached employees resulting in no staff turnover and also been | At BatchMaster Software, I launched a new consultant groupÂ to implement a manufacturing based ERP system using the rapid | At BatchMaster Software, I also implemented a support team in India that provided post implementation support based on new policies and | a smooth integration of Missouri College after it was acquired into the Weston Education Group | American Career College and West Coast University is a private post-secondary institution that trains students in the Allied Health sector with | BatchMaster Software Inc develops an Enterprise Resource Planning system for the process manufacturing industries integrated into Sage | Walden University | Bachelor of Science | University of Essex | the world famous Essex UniversityÂ Afro-Carib | Played soccer for the University | Learning Management Systems: Dialoge EDU; eCollege; Moodle Rooms | Manufacturing Systems: BatchMaster",28% | 60% | 75% | 80%
33241454.pdf,"communication, excel, project management",3,Northwest Florida State College | Diploma,
33381211.pdf,"aws, c, sql",3,Mini MBA | Boston University | Anjuman Engineering College,15% | 20% | 60%
35325329.pdf,project management,1,"Facilitated the processing of the Entrust Subscriber Agreement (public certificates and keys) documents. | De La Salle University | Assumption College | Agile Management, UC Berkeley Extension; Advanced Project Management Program, Stanford University (SCPM); Project Management, San | Jose State University Certified Lean Six Sigma Black Belt in Lean Six Sigma Quality and Operational Excellence, Harrington Institute Certified | ScrumMaster (CSM); Certified Scrum Product Owner (CSPO), Scrum Alliance Foundation Certificate in IT Service Management v2, ITIL,",100% | 300%
36434348.pdf,"c, communication, html, project management, sql",5,"Managed computer support staff of college serving over 150+ employees Responsible for planning and implementation of major | modifications/upgrade to the entire computing environment of the college Involved in IT Governance efforts of the campus to develop | Administer data needs of the college including data security, database development/maintenance and report generation Responsible for the | purchasing appropriate computing equipment that would fit the various needs of the college Faculty and staff. | Master of Science | University of Illinois | Bachelor of Science | University of Illinois",
36856210.pdf,html,1,,
37242217.pdf,"c, css, html, java, javascript, project management, sql",7,"part-time employees and consultants Webmaster and graphic designer for Internet and intranet sites, print advertising, multimedia, and | Bachelor of Science | University of Phoenix | and development, Web designer, web design, Webmaster, Workflow, written, XML",
37764298.pdf,"excel, sql",2,Towson University,73%
38753827.pdf,project management,1,University of Massachusetts | Arizona State University,50%
39413067.pdf,"c, communication, html, java, project management, sql",6,,81%
39718499.pdf,communication,1,"Utica College Football, Member Fall 2010 - Fall 2013 | Bachelor of Science | Utica College | Utica College Utica, NY Bachelor of Science May 2014 Major: | Utica College Football",GPA: 3.37
40018190.pdf,project management,1,Bachelor of Science | William Woods University | Assisted University network administrator with daily tasks including | Maintained 489 page University website | Managed and completed daily work orders for University Help Desk,GPA: 3.4
41344156.pdf,"communication, data analysis, sql",3,Park University | Bachelor of Science | Park University,100% | 25% | 80% | 99% | GPA 3.82 | GPA: 3.5
46260230.pdf,"communication, project management",2,University Of Colorado At Boulder,
48037995.pdf,"data analysis, excel",2,"Patient and professional excellence oriented Pharmacist with Doctor of Pharmacy and Master in Science degrees. Nine years of retail experience | Mastered HEB Pharmacy Standard Operating Procedures (SOPS). | Massachusetts College of Pharmacy and Health Science | Master of Science | University of Information Technology, Mechanics and Optics",
51363762.pdf,"c, project management",2,"Bachelor of Arts | Pillar College | Defense Acquisition University Training Course Completion: ACQ 1 01, 1 30 & 201; SAMJOJ , CLE 003 & 060, ACQ 2036 | University",4.0 GPA
51639418.pdf,"communication, project management, sql",3,"Tools (Office, Project, Visio, SharePoint, Exchange, MSCCM, | Capella University | Inter American University | University of Puerto Rico | ORACLE, Performance management, personnel, PhD, PR, Process Improvement, Programming, Project Management, Rehabilitation, Relational",
52246737.pdf,,0,"McAfee EEPC). | varying degrees of service contracts, in significantly diverse environments. | Heald College | Heald College | Gateway, IDS, imaging, Information Security, laptops, Legal, Linux, Mac, director, McAfee, mediator, mentoring, Exchange, Microsoft Exchange,",
52618188.pdf,"communication, excel, project management",3,Sam Houston State University,
57002858.pdf,"communication, excel, sql",3,McHenry County College,
64017585.pdf,,0,St. John's University,
66832845.pdf,"azure, communication",2,"VBscript, Visual Basic Programming, Windows Server | Server, Geographic Information system, group policy SCOM & SCCM, vbscripts and Powershell, SANs, | support, Unix, Windows Server, Geographic Information system, group policy SCOM & SCCM, vbscripts and Powershell, SANs, | I write or modify scripts such as Powershell, VBscript. | vbscript scripts to automate many functions, including student user account creation by exporting data from the student information system | I have attended several college Computer Science courses.",
68460556.pdf,"communication, excel",2,Bloomsburg University of Pennsylvania | Spring 2016 *Bloomsburg University Career Intensive Boot Camp,3.50 GPA
70089206.pdf,"c, java, javascript, project management, sql",5,University of Maryland | Master of Science | Indiana University of Pennsylvania | Bachelor of Arts | Indiana University of Pennsylvania,
79541391.pdf,"excel, sql",2,"Bachelor of Science | Oneonta State University | Bachelor of Science in Computer Science & | Business Oneonta State University - Oneonta, NY",25% | 30% | 40% | 50%
81761658.pdf,"communication, project management",2,Bachelor of Science | University of Maryland University College | Middle Tennessee State University,40% | 45%
83816738.pdf,"aws, c, communication, css, html, java, javascript, node, project management, sql",10,"Master of Science | Lamar University | Bachelor of Engineering | Tribhuvan University | Outstanding Student Award, Lamar University: Fall 2017Â | Resource Manager in Robotics Club, Kathmandu Engineering College, Tribhuvan University (2013 - 2013). | Kathmandu Engineering College. | Treasurer and Event Organizer in Nepalese Student Association (NSA) at Lamar University (2016 - 2017).",GPA: 3.94 | GPA: 4.0
89413122.pdf,"data analysis, project management",2,New York University,
90867631.pdf,"c, communication, html, project management, sql",5,Led a multi-functional unit with over 120 team members and billions of dollars worth of equipment into combat during Operation Enduring | Texas A & M University Central Texas | Master's Degree | Masters of Sciences | Central Texas College | Saint Leo University | Bachelor's Degree | Bachelor of Science | Successfully completed the following computer courses with Saint Leo University: COM-130 PC applications COM-207 Programming in C/C+ | Central Texas College: ITNW 2435 CompTIA A+ Harware and Software,"3.25 GPA | 3.80
 
GPA | 4.0
 
GPA | GPA: 3.25 | GPA: 3.80 | GPA: 4.0"
91121135.pdf,"communication, excel",2,Created and maintained SAP User Master Records for over 150 end users. | Diploma,
91635250.pdf,communication,1,Some College (No Degree) | University Of Advancing Technology,
91697974.pdf,"communication, excel, project management",3,"College of Lake County | College of Lake County | College of Lake County | Strayer University | Bachelor of Science | Training for Cisco; CCNA, CCNA-Security, CCNA-Voice, (Microtrain, Lombard, IL) â€“ 2012 â€“ 2013",
92069209.pdf,"communication, project management",2,North Carolina A&T State University,95% | 98%
